item_id,order_id,product_id,quantity,unit_price,discount_percent
1,150,242,4,446.91,8
2,269,108,3,2102.7,52
3,45,248,5,2186.02,67
4,219,312,5,2551.0,36
5,475,67,3,1862.16,45
6,253,414,4,580.73,63
7,100,1,5,398.71,37
8,378,435,4,661.63,15
9,24,171,5,1081.47,52
10,354,145,-2,800.53,25
11,282,166,1,2312.75,64
12,203,371,1,1728.32,43
13,170,427,1,1046.91,24
14,331,70,4,1470.41,4
15,459,172,4,1414.29,68
16,428,267,4,933.06,7
17,107,296,3,2072.21,2
18,144,431,3,141.96,19
19,293,311,4,1199.22,21
20,362,440,5,977.77,39
21,255,450,1,751.04,11
22,111,269,4,941.84,38
23,399,104,1,2744.39,4
24,464,257,4,504.53,61
25,159,398,3,1015.65,67
26,347,68,1,655.3,66
27,60,3,1,967.39,66
28,171,240,1,2673.1,11
29,12,296,1,2287.56,39
30,147,142,2,1620.21,24
31,77,81,4,857.23,34
32,53,106,1,1650.46,65
33,483,361,5,2421.81,18
34,160,314,5,2682.12,9
35,15,242,5,2714.71,16
36,45,219,1,1206.15,6
37,316,183,5,971.7,57
38,41,499,2,2772.21,68
39,417,411,4,2763.08,11
41,74,441,4,2692.32,28
42,94,359,3,2755.93,50
43,233,250,3,139.28,41
45,261,53,3,1246.77,16
46,406,155,1,1621.6,9
47,318,125,4,1666.45,30
48,107,417,4,2097.48,43
49,291,404,4,1059.49,55
50,379,477,2,2150.13,9
51,167,285,4,338.08,59
52,36,307,4,370.8,51
53,168,254,5,1952.72,48
54,455,298,1,2714.61,17
55,232,273,1,909.93,19
56,106,349,5,2638.4,25
57,471,483,3,2813.2,38
58,314,262,3,1242.38,1
59,190,462,2,1669.21,7
60,57,441,-1,882.52,45
61,321,163,1,2149.73,50
62,109,340,4,561.56,69
63,432,474,2,1112.85,49
64,69,6,4,261.65,16
65,337,224,1,2926.18,62
66,441,234,2,2686.07,53
67,233,261,5,1301.17,23
68,96,218,4,1833.49,28
69,365,257,5,844.29,30
70,20,291,5,1475.64,4
71,493,354,3,286.19,61
72,239,265,5,280.79,35
73,323,380,5,2008.02,60
74,409,297,1,971.87,69
75,399,6,1,1433.16,68
77,356,473,3,1813.03,4
78,32,323,3,1445.82,33
79,415,378,2,1891.74,37
80,259,40,3,2561.76,16
81,141,440,3,808.02,35
82,338,229,1,1140.81,19
83,249,93,2,2408.15,30
84,496,75,1,1806.86,10
85,395,197,2,751.94,52
86,108,296,4,2216.37,21
87,387,420,3,392.18,33
88,155,244,2,2251.14,60
90,196,348,-4,981.28,57
91,50,470,5,1617.32,5
92,313,471,3,1973.59,55
93,411,51,3,803.26,34
94,376,345,5,1786.74,30
95,161,281,2,81.21,23
96,211,51,1,1599.53,1
97,129,99,4,150.42,36
98,487,307,5,1932.34,27
99,193,337,1,2303.38,16
100,459,57,5,2102.18,23
101,328,233,3,2771.95,9
102,132,83,3,2353.16,41
103,199,171,3,2988.08,48
104,92,226,3,254.73,33
105,331,252,2,369.87,22
106,315,330,5,363.44,27
107,18,38,4,257.72,13
108,460,255,3,489.12,2
109,137,78,1,2115.16,49
110,363,482,4,2324.42,65
111,277,116,4,59.76,8
112,479,184,4,1033.65,68
113,188,274,3,2567.36,11
114,390,393,3,905.38,58
115,496,197,2,1999.17,5
116,323,353,3,1109.82,13
117,377,98,1,462.83,56
118,251,200,-2,235.83,30
119,274,495,5,2511.04,63
120,19,174,4,215.36,2
121,414,335,1,2018.58,27
122,77,380,4,1759.07,68
123,251,335,1,106.24,18
125,234,313,3,553.53,12
126,59,255,5,1805.18,13
127,219,173,5,2443.99,25
128,71,165,4,2517.46,69
129,172,33,2,406.2,22
130,357,190,2,1682.55,21
131,69,52,4,2383.6,5
132,9,451,5,1486.55,20
133,362,334,-1,1801.51,11
134,355,65,3,658.17,60
135,123,481,3,564.92,52
136,314,487,1,309.66,63
137,286,121,3,616.11,0
139,142,28,5,621.47,26
140,255,91,2,521.29,60
141,146,108,1,1332.28,46
142,23,54,3,2234.23,58
143,249,264,5,392.39,3
144,215,102,2,2253.91,41
145,167,117,3,339.29,14
146,457,113,4,266.91,48
147,75,111,5,2787.27,55
148,70,235,4,2173.47,47
149,172,66,3,144.68,25
150,57,437,5,1423.33,17
151,113,454,4,920.73,43
152,296,497,2,1680.63,21
153,251,442,2,2987.21,66
154,143,8,5,2203.55,59
155,297,114,2,2680.88,55
156,214,23,5,168.17,0
157,18,218,4,1616.81,64
158,232,254,4,759.51,12
159,487,112,5,441.5,52
160,9,246,3,2023.66,11
161,500,233,2,1418.09,3
162,95,405,2,2621.08,51
163,441,322,4,258.56,0
164,219,386,3,845.88,37
165,404,351,5,288.83,26
166,264,485,3,2734.51,7
167,197,188,3,1422.79,14
168,332,287,1,2129.38,22
169,71,172,5,753.97,26
170,386,382,1,2294.61,26
171,258,349,3,1297.64,34
172,232,249,1,1529.28,44
173,348,423,1,1621.92,68
174,410,345,3,2838.83,47
175,45,42,1,1202.51,58
176,56,85,2,864.03,9
177,267,488,2,1900.46,26
178,478,68,3,1448.02,69
179,150,97,4,235.7,2
180,331,172,2,1264.49,66
181,249,304,3,2014.27,41
182,235,156,5,1723.39,56
183,117,248,3,1147.11,33
184,76,181,3,888.93,6
