order_id,customer_id,order_date,status,region_code
1,424.0,2025-11-23 20:46:00,SHIPPED,EAST
2,76.0,2025-06-20 22:28:25,DELIVERED,WEST
3,,2025-09-24 09:17:25,SHIPPED,NORTH
4,488.0,2025-11-23 20:43:05,RETURNED,SOUTH
5,49.0,2025-04-23 14:40:11,SHIPPED,NORTH
6,7.0,2024-12-19 20:59:34,SHIPPED,SOUTH
7,102.0,2024-07-31 00:18:50,PLACED,EAST
8,470.0,09-07-2025 07:51:11,PLACED,SOUTH
9,463.0,2025-10-31 15:23:08,PLACED,EAST
10,,2025-03-11 14:43:20,SHIPPED,WEST
11,421.0,2025-05-25 11:06:20,CANCELLED,WEST
12,89.0,2025-04-10 05:06:34,DELIVERED,EAST
13,229.0,09-01-2025 00:41:57,RETURNED,SOUTH
14,332.0,2025-03-05 12:48:55,RETURNED,WEST
15,32.0,2025-04-22 08:35:50,CANCELLED,SOUTH
16,330.0,2025-01-22 13:05:17,RETURNED,NORTH
17,196.0,2024-12-26 19:58:18,RETURNED,WEST
18,177.0,2024-09-09 02:13:26,CANCELLED,EAST
19,,2026-06-28 14:29:03,PLACED,EAST
20,30.0,2025-10-03 09:52:58,DELIVERED,SOUTH
21,499.0,2025-03-15 22:33:32,SHIPPED,EAST
22,274.0,2025-07-31 03:30:14,PLACED,SOUTH
23,295.0,2024-11-04 18:18:03,DELIVERED,SOUTH
24,91.0,2025-10-04 20:33:42,DELIVERED,NORTH
25,361.0,2025-11-03 07:05:40,RETURNED,SOUTH
26,289.0,2024-08-04 01:49:36,CANCELLED,EAST
27,90.0,2025-09-07 17:57:22,SHIPPED,SOUTH
28,11.0,19-05-2026 16:01:41,RETURNED,SOUTH
29,413.0,2026-04-06 11:51:20,DELIVERED,NORTH
30,12.0,2024-09-19 23:54:07,SHIPPED,NORTH
31,434.0,2024-07-26 05:20:55,PLACED,EAST
32,361.0,2026-07-09 14:09:53,PLACED,EAST
33,155.0,2024-08-09 13:59:46,CANCELLED,WEST
34,333.0,2025-03-30 01:21:29,RETURNED,EAST
35,115.0,2025-11-18 22:40:18,CANCELLED,EAST
36,376.0,2024-09-22 07:32:44,PLACED,WEST
37,436.0,2024-08-23 04:14:20,PLACED,SOUTH
38,309.0,2025-02-01 00:32:41,RETURNED,SOUTH
39,328.0,2025-03-16 23:58:51,SHIPPED,EAST
40,382.0,2025-03-24 15:36:39,DELIVERED,SOUTH
41,326.0,2025-07-21 01:03:35,DELIVERED,WEST
42,6.0,2024-11-09 15:36:56,PLACED,EAST
43,132.0,2025-09-21 17:08:26,PLACED,WEST
44,225.0,2025-12-17 09:46:21,CANCELLED,WEST
45,452.0,2025-05-13 19:01:10,PLACED,WEST
46,404.0,2024-10-14 04:09:32,SHIPPED,SOUTH
47,232.0,2025-12-06 22:09:08,DELIVERED,NORTH
48,164.0,2024-11-04 13:53:17,DELIVERED,SOUTH
49,455.0,2025-09-14 16:34:27,RETURNED,NORTH
50,174.0,2025-05-13 01:04:49,CANCELLED,NORTH
51,221.0,2025-10-10 02:53:42,CANCELLED,SOUTH
52,28.0,2024-11-21 04:43:02,SHIPPED,WEST
53,357.0,2025-05-06 22:31:10,RETURNED,EAST
54,339.0,2024-08-11 05:20:51,PLACED,WEST
55,293.0,2024-10-14 23:04:54,PLACED,EAST
56,2.0,2025-06-02 07:00:20,RETURNED,WEST
57,103.0,2026-03-06 00:44:46,DELIVERED,NORTH
58,243.0,2025-12-22 02:13:35,CANCELLED,WEST
59,251.0,2025-09-05 18:09:24,RETURNED,WEST
60,95.0,2026-06-24 09:05:58,SHIPPED,WEST
61,23.0,2026-02-16 18:57:47,SHIPPED,EAST
62,289.0,2025-08-01 14:15:06,PLACED,NORTH
63,343.0,2025-08-03 20:15:53,RETURNED,SOUTH
64,284.0,2026-06-02 17:13:38,RETURNED,WEST
65,495.0,2026-06-27 12:55:08,CANCELLED,SOUTH
66,244.0,2024-11-06 18:53:58,PLACED,SOUTH
67,62.0,2025-02-09 11:16:26,SHIPPED,SOUTH
68,414.0,05-05-2026 11:45:40,PLACED,WEST
69,104.0,2025-02-03 01:25:03,RETURNED,EAST
70,164.0,2026-01-03 00:52:00,PLACED,NORTH
71,199.0,2024-10-30 10:18:54,DELIVERED,WEST
72,470.0,2026-05-11 02:36:11,RETURNED,WEST
