product_id,product_name,category,subcategory,cost_price
1,Data Science,Books,Democrat,695.78
2,Headphones,Electronics,Girl,860.75
3,Data Science,Books,Guy,888.56
4,Python,Books,Share,242.42
5,Table,Home,Teach,439.63
6,Laptop,Electronics,Pm,697.06
7,Laptop,Electronics,Box,65.56
8,Sofa,Home,Matter,251.76
9,SQL,Books,Management,88.18
10,SQL,Books,He,587.33
11,Shoes,Clothing,Glass,464.97
12,Monitor,Electronics,Society,680.83
13,T Shirt,Clothing,Thousand,352.11
14,Lamp,Home,Avoid,462.27
15,Table,Home,Cover,854.8
16,Phone,Electronics,Despite,365.37
17,   SOFA   ,Home,Alone,831.74
18,   DATA SCIENCE   ,Books,Make,866.42
19,Camera,Electronics,Security,834.51
20,Table,Home,Lead,358.8
21,Jacket,Clothing,Would,723.72
22,T Shirt,Clothing,Evening,649.88
23,   LAMP   ,Home,Long,371.21
24,T Shirt,Clothing,Prepare,333.45
25,SQL,Books,Central,788.65
26,Sofa,Home,After,264.4
27,Data Science,Books,Question,345.33
28,Monitor,Electronics,Military,149.35
29,Shoes,Clothing,Speak,806.54
30,Chair,Home,The,23.78
31,Monitor,Electronics,That,751.52
32,Lamp,Home,Different,940.89
33,Phone,Electronics,Who,623.35
34,Table,Home,Around,639.05
35,Data Science,Books,Give,125.51
36,Laptop,Electronics,Back,497.7
37,Phone,Electronics,Message,144.31
38,Data Science,Books,Thought,745.71
39,SQL,Books,Pick,658.37
40,AI,Books,World,286.94
41,Table,Home,College,951.05
42,Chair,Home,Hair,373.66
43,Chair,Home,Result,197.91
44,Monitor,Electronics,Piece,219.98
45,Laptop,Electronics,Organization,251.13
46,Jeans,Clothing,Statement,767.51
47,Jeans,Clothing,Hope,240.67
48,T Shirt,Clothing,Mention,984.19
49,Jacket,Clothing,Animal,118.83
50,   PHONE   ,Electronics,To,792.08
51,   JACKET   ,Clothing,Reduce,272.71
52,Shoes,Clothing,Receive,748.21
53,AI,Books,Leg,518.11
54,Monitor,Electronics,Pattern,945.96
55,Camera,Electronics,Range,646.91
