customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
CUST_000001,UNIQ_000001,13278,salvador,BA
CUST_000002,UNIQ_000002,42098,porto alegre,RS
CUST_000003,UNIQ_000003,28289,recife,PE
CUST_000004,UNIQ_000004,98696,salvador,BA
CUST_000005,UNIQ_000005,21395,maceio,AL
CUST_000006,UNIQ_000006,65302,cuiaba,MT
CUST_000007,UNIQ_000007,13905,rio de janeiro,RJ
CUST_000008,UNIQ_000008,38657,belo horizonte,MG
CUST_000009,UNIQ_000009,76237,recife,PE
CUST_000010,UNIQ_000010,13478,porto velho,RO
CUST_000011,UNIQ_000011,36062,maceio,AL
CUST_000012,UNIQ_000012,64987,maceio,AL
CUST_000013,UNIQ_000013,68878,recife,PE
CUST_000014,UNIQ_000014,46463,cuiaba,MT
CUST_000015,UNIQ_000015,30926,sao paulo,SP
CUST_000016,UNIQ_000016,54597,teresina,PI
CUST_000017,UNIQ_000017,30379,porto alegre,RS
CUST_000018,UNIQ_000018,54118,manaus,AM
CUST_000019,UNIQ_000019,22156,salvador,BA
CUST_000020,UNIQ_000020,22676,natal,RN
CUST_000021,UNIQ_000021,55082,florianopolis,SC
CUST_000022,UNIQ_000022,44671,porto velho,RO
CUST_000023,UNIQ_000023,70217,rio de janeiro,RJ
CUST_000024,UNIQ_000024,26361,maceio,AL
CUST_000025,UNIQ_000025,20328,natal,RN
CUST_000026,UNIQ_000026,48427,maceio,AL
CUST_000027,UNIQ_000027,57400,porto velho,RO
CUST_000028,UNIQ_000028,35203,cuiaba,MT
CUST_000029,UNIQ_000029,16006,belo horizonte,MG
CUST_000030,UNIQ_000030,47930,recife,PE
CUST_000031,UNIQ_000031,40512,belo horizonte,MG
CUST_000032,UNIQ_000032,59823,salvador,BA
CUST_000033,UNIQ_000033,69429,porto alegre,RS
CUST_000034,UNIQ_000034,31319,florianopolis,SC
CUST_000035,UNIQ_000035,56566,florianopolis,SC
CUST_000036,UNIQ_000036,97841,manaus,AM
CUST_000037,UNIQ_000037,99593,porto alegre,RS
CUST_000038,UNIQ_000038,89840,belo horizonte,MG
CUST_000039,UNIQ_000039,80010,curitiba,PR
CUST_000040,UNIQ_000040,31417,recife,PE
CUST_000041,UNIQ_000041,59735,campo grande,MS
CUST_000042,UNIQ_000042,93886,porto alegre,RS
CUST_000043,UNIQ_000043,38785,maceio,AL
CUST_000044,UNIQ_000044,17331,goiania,GO
CUST_000045,UNIQ_000045,14207,recife,PE
CUST_000046,UNIQ_000046,62581,goiania,GO
CUST_000047,UNIQ_000047,18675,porto alegre,RS
CUST_000048,UNIQ_000048,84341,manaus,AM
CUST_000049,UNIQ_000049,37869,goiania,GO
CUST_000050,UNIQ_000050,61856,joao pessoa,PB
CUST_000051,UNIQ_000051,28726,campo grande,MS
CUST_000052,UNIQ_000052,28301,porto alegre,RS
CUST_000053,UNIQ_000053,83579,recife,PE
CUST_000054,UNIQ_000054,44438,maceio,AL
CUST_000055,UNIQ_000055,66155,cuiaba,MT
CUST_000056,UNIQ_000056,62350,cuiaba,MT
CUST_000057,UNIQ_000057,38746,florianopolis,SC
CUST_000058,UNIQ_000058,76784,fortaleza,CE
CUST_000059,UNIQ_000059,21915,joao pessoa,PB
CUST_000060,UNIQ_000060,24371,rio de janeiro,RJ
CUST_000061,UNIQ_000061,92240,fortaleza,CE
CUST_000062,UNIQ_000062,99192,curitiba,PR
CUST_000063,UNIQ_000063,88172,teresina,PI
CUST_000064,UNIQ_000064,60432,belo horizonte,MG
CUST_000065,UNIQ_000065,88104,natal,RN
CUST_000066,UNIQ_000066,79352,campo grande,MS
CUST_000067,UNIQ_000067,82512,porto alegre,RS
CUST_000068,UNIQ_000068,99166,sao paulo,SP
CUST_000069,UNIQ_000069,99353,salvador,BA
CUST_000070,UNIQ_000070,44973,maceio,AL
CUST_000071,UNIQ_000071,24621,goiania,GO
CUST_000072,UNIQ_000072,66985,belem,PA
CUST_000073,UNIQ_000073,69470,curitiba,PR
CUST_000074,UNIQ_000074,44522,sao paulo,SP
CUST_000075,UNIQ_000075,33416,aracaju,SE
