order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD_0000001,1,PROD_001950,SELL_0224,2023-06-18 14:30:00,1754.7,20.17
ORD_0000002,1,PROD_000989,SELL_0405,2021-06-14 11:02:00,2105.2,45.48
ORD_0000003,1,PROD_000254,SELL_0283,2022-04-03 19:38:00,1627.94,78.29
ORD_0000004,1,PROD_001327,SELL_0437,2021-09-12 22:29:00,65.22,31.08
ORD_0000004,2,PROD_002714,SELL_0396,2021-09-12 22:29:00,946.39,44.43
ORD_0000004,3,PROD_001507,SELL_0446,2021-09-12 22:29:00,157.96,55.93
ORD_0000005,1,PROD_001872,SELL_0152,2022-08-28 07:46:00,1681.83,14.0
ORD_0000006,1,PROD_001518,SELL_0490,2023-05-29 16:27:00,856.74,64.83
ORD_0000007,1,PROD_001504,SELL_0324,2021-09-22 15:50:00,373.8,66.88
ORD_0000008,1,PROD_001133,SELL_0241,2021-01-21 14:24:00,899.98,23.95
ORD_0000009,1,PROD_000526,SELL_0462,2021-07-08 23:18:00,1953.84,75.42
ORD_0000010,1,PROD_000426,SELL_0055,2021-02-22 04:01:00,1016.41,49.62
ORD_0000011,1,PROD_000821,SELL_0091,2021-01-12 14:51:00,2477.09,42.63
ORD_0000011,2,PROD_001351,SELL_0051,2021-01-10 14:51:00,2419.8,51.74
ORD_0000011,3,PROD_002062,SELL_0269,2021-01-12 14:51:00,920.06,8.1
ORD_0000012,1,PROD_002124,SELL_0349,2023-03-20 22:15:00,55.97,39.27
ORD_0000012,2,PROD_002198,SELL_0475,2023-03-20 22:15:00,1994.77,35.57
ORD_0000012,3,PROD_000936,SELL_0344,2023-03-19 22:15:00,266.81,30.16
ORD_0000012,4,PROD_000483,SELL_0193,2023-03-18 22:15:00,2238.52,39.46
ORD_0000013,1,PROD_002031,SELL_0218,2022-03-27 16:59:00,1059.89,57.45
ORD_0000014,1,PROD_001026,SELL_0045,2021-02-03 02:37:00,988.46,66.27
ORD_0000015,1,PROD_001683,SELL_0018,2021-04-30 23:20:00,814.14,18.9
ORD_0000016,1,PROD_001046,SELL_0444,2021-08-20 02:52:00,1708.07,59.62
ORD_0000016,2,PROD_001451,SELL_0210,2021-08-22 02:52:00,1984.38,28.54
ORD_0000016,3,PROD_001811,SELL_0085,2021-08-20 02:52:00,327.88,74.11
ORD_0000016,4,PROD_001509,SELL_0160,2021-08-22 02:52:00,2370.5,66.19
ORD_0000017,1,PROD_000228,SELL_0151,2021-03-10 21:44:00,678.64,10.23
ORD_0000018,1,PROD_002741,SELL_0479,2022-04-09 11:26:00,2099.94,15.89
ORD_0000018,2,PROD_002888,SELL_0281,2022-04-08 11:26:00,332.79,16.74
ORD_0000019,1,PROD_000233,SELL_0489,2022-12-21 14:13:00,1162.79,56.0
ORD_0000019,2,PROD_002405,SELL_0411,2022-12-20 14:13:00,2242.5,34.5
ORD_0000020,1,PROD_002399,SELL_0404,2022-05-10 20:42:00,2370.75,41.91
ORD_0000021,1,PROD_001230,SELL_0234,2021-06-27 13:10:00,982.72,67.22
ORD_0000021,2,PROD_002875,SELL_0145,2021-06-26 13:10:00,1128.24,24.07
ORD_0000022,1,PROD_000658,SELL_0351,2022-11-26 08:00:00,1352.7,62.29
ORD_0000023,1,PROD_001878,SELL_0473,2023-05-19 22:37:00,2274.0,72.97
ORD_0000024,1,PROD_001783,SELL_0396,2021-11-19 02:17:00,2353.93,74.35
ORD_0000025,1,PROD_002319,SELL_0248,2022-05-01 02:04:00,328.13,30.94
ORD_0000025,2,PROD_000557,SELL_0175,2022-05-01 02:04:00,2238.76,45.75
ORD_0000025,3,PROD_002089,SELL_0430,2022-05-01 02:04:00,2360.13,37.13
ORD_0000025,4,PROD_002855,SELL_0075,2022-05-01 02:04:00,374.01,79.58
ORD_0000025,5,PROD_000947,SELL_0324,2022-04-29 02:04:00,1704.06,67.3
ORD_0000026,1,PROD_002278,SELL_0422,2021-09-08 02:45:00,530.87,62.81
ORD_0000027,1,PROD_000179,SELL_0216,2023-05-02 04:30:00,1344.53,10.64
ORD_0000027,2,PROD_002218,SELL_0472,2023-05-04 04:30:00,1151.86,29.59
ORD_0000028,1,PROD_002837,SELL_0022,2022-12-23 08:50:00,161.69,29.57
ORD_0000029,1,PROD_000290,SELL_0390,2021-02-23 10:16:00,1402.86,28.96
ORD_0000030,1,PROD_002297,SELL_0088,2021-12-27 00:53:00,2413.9,21.5
ORD_0000030,2,PROD_001631,SELL_0269,2021-12-28 00:53:00,629.09,50.0
ORD_0000031,1,PROD_000378,SELL_0251,2023-06-07 08:48:00,2412.77,44.88
ORD_0000031,2,PROD_000312,SELL_0070,2023-06-07 08:48:00,539.6,67.73
ORD_0000031,3,PROD_002003,SELL_0389,2023-06-07 08:48:00,2423.75,37.87
ORD_0000032,1,PROD_002118,SELL_0261,2022-03-04 03:49:00,2340.86,29.16
ORD_0000032,2,PROD_002073,SELL_0169,2022-03-04 03:49:00,100.2,6.53
ORD_0000032,3,PROD_000935,SELL_0337,2022-03-04 03:49:00,671.47,29.74
ORD_0000032,4,PROD_001262,SELL_0280,2022-03-02 03:49:00,348.75,72.41
ORD_0000033,1,PROD_001751,SELL_0307,2022-06-17 05:31:00,465.56,43.17
ORD_0000034,1,PROD_002646,SELL_0465,2022-07-28 03:24:00,131.12,24.98
ORD_0000034,2,PROD_002606,SELL_0003,2022-07-28 03:24:00,858.88,67.77
ORD_0000035,1,PROD_000608,SELL_0288,2022-11-20 10:22:00,969.41,31.76
ORD_0000036,1,PROD_002761,SELL_0390,2022-05-20 23:35:00,977.68,77.73
ORD_0000037,1,PROD_002710,SELL_0433,2023-01-24 09:05:00,2422.79,27.67
ORD_0000038,1,PROD_000841,SELL_0255,2021-09-26 04:47:00,708.31,66.28
ORD_0000039,1,PROD_000042,SELL_0474,2022-07-07 01:44:00,2142.59,18.72
ORD_0000040,1,PROD_001091,SELL_0201,2021-05-08 07:28:00,1585.0,7.02
ORD_0000040,2,PROD_001396,SELL_0155,2021-05-10 07:28:00,1798.15,15.62
ORD_0000041,1,PROD_000559,SELL_0486,2023-06-19 19:28:00,324.86,12.71
ORD_0000041,2,PROD_000137,SELL_0437,2023-06-20 19:28:00,752.34,10.2
ORD_0000041,3,PROD_002406,SELL_0334,2023-06-20 19:28:00,799.18,44.66
ORD_0000042,1,PROD_001942,SELL_0143,2022-11-14 16:07:00,1116.4,6.15
ORD_0000043,1,PROD_001439,SELL_0330,2022-11-09 17:05:00,2096.1,41.45
ORD_0000043,2,PROD_002954,SELL_0076,2022-11-08 17:05:00,1150.1,45.04
ORD_0000043,3,PROD_000740,SELL_0162,2022-11-10 17:05:00,337.13,26.64
ORD_0000043,4,PROD_000354,SELL_0402,2022-11-10 17:05:00,2263.55,56.76
ORD_0000044,1,PROD_002940,SELL_0318,2022-07-04 02:57:00,1162.5,16.31
ORD_0000045,1,PROD_002651,SELL_0184,2022-05-02 04:42:00,1282.33,36.37
ORD_0000046,1,PROD_002712,SELL_0219,2023-01-28 03:43:00,51.95,57.07
ORD_0000047,1,PROD_001945,SELL_0231,2021-02-11 00:50:00,596.71,71.32
ORD_0000048,1,PROD_002533,SELL_0469,2023-05-04 14:22:00,1351.93,55.97
ORD_0000049,1,PROD_001688,SELL_0461,2022-04-06 15:35:00,460.17,63.35
ORD_0000050,1,PROD_000755,SELL_0449,2022-01-09 14:27:00,2487.11,46.48
ORD_0000051,1,PROD_002897,SELL_0445,2021-02-17 13:27:00,990.8,7.04
ORD_0000051,2,PROD_001277,SELL_0330,2021-02-17 13:27:00,1010.39,35.89
ORD_0000051,3,PROD_001948,SELL_0455,2021-02-19 13:27:00,647.43,12.69
ORD_0000051,4,PROD_000896,SELL_0341,2021-02-19 13:27:00,2481.33,5.9
ORD_0000051,5,PROD_001896,SELL_0454,2021-02-17 13:27:00,1437.68,78.11
ORD_0000052,1,PROD_002881,SELL_0263,2023-01-17 05:51:00,2428.11,31.84
ORD_0000052,2,PROD_000593,SELL_0487,2023-01-16 05:51:00,1410.59,29.15
ORD_0000052,3,PROD_000539,SELL_0391,2023-01-16 05:51:00,804.1,44.73
ORD_0000052,4,PROD_002052,SELL_0148,2023-01-16 05:51:00,1024.88,55.13
ORD_0000053,1,PROD_002026,SELL_0081,2021-08-01 00:40:00,456.44,74.13
ORD_0000054,1,PROD_001779,SELL_0212,2022-01-09 19:31:00,32.55,35.37
ORD_0000054,2,PROD_001086,SELL_0058,2022-01-11 19:31:00,226.21,23.32
ORD_0000054,3,PROD_002505,SELL_0109,2022-01-11 19:31:00,2346.63,66.66
ORD_0000054,4,PROD_001247,SELL_0059,2022-01-10 19:31:00,673.04,23.86
ORD_0000055,1,PROD_001543,SELL_0381,2022-12-08 01:57:00,2198.7,51.57
ORD_0000056,1,PROD_002244,SELL_0087,2023-04-09 08:51:00,2133.95,77.67
ORD_0000057,1,PROD_002923,SELL_0061,2023-03-04 12:37:00,661.0,28.62
ORD_0000057,2,PROD_002971,SELL_0428,2023-03-06 12:37:00,713.1,24.61
ORD_0000057,3,PROD_000545,SELL_0386,2023-03-06 12:37:00,1855.76,56.97
ORD_0000057,4,PROD_002717,SELL_0146,2023-03-04 12:37:00,1959.57,42.82
ORD_0000057,5,PROD_000682,SELL_0402,2023-03-05 12:37:00,1986.39,9.19
ORD_0000058,1,PROD_001906,SELL_0123,2022-02-21 04:03:00,1969.92,77.62
ORD_0000058,2,PROD_001764,SELL_0126,2022-02-21 04:03:00,2122.82,16.42
ORD_0000059,1,PROD_001071,SELL_0342,2021-02-11 04:22:00,158.24,64.4
ORD_0000060,1,PROD_002807,SELL_0104,2023-05-22 12:55:00,1250.33,16.39
ORD_0000061,1,PROD_002835,SELL_0150,2022-04-16 01:14:00,2201.92,37.47
ORD_0000061,2,PROD_000367,SELL_0138,2022-04-15 01:14:00,744.69,40.99
ORD_0000061,3,PROD_002955,SELL_0097,2022-04-16 01:14:00,2339.77,60.13
ORD_0000061,4,PROD_001033,SELL_0169,2022-04-16 01:14:00,1008.96,50.18
ORD_0000062,1,PROD_002248,SELL_0435,2022-10-02 03:20:00,2477.43,16.83
ORD_0000063,1,PROD_002416,SELL_0292,2022-03-03 04:36:00,805.25,65.01
ORD_0000064,1,PROD_000521,SELL_0498,2023-06-15 23:12:00,1141.22,63.37
ORD_0000064,2,PROD_000095,SELL_0276,2023-06-17 23:12:00,1439.04,22.65
ORD_0000064,3,PROD_000026,SELL_0029,2023-06-15 23:12:00,1622.16,31.42
ORD_0000065,1,PROD_002010,SELL_0407,2021-09-10 12:32:00,1105.28,77.22
ORD_0000066,1,PROD_002101,SELL_0203,2022-09-27 04:11:00,2006.25,27.04
ORD_0000066,2,PROD_002235,SELL_0264,2022-09-27 04:11:00,1236.98,40.22
ORD_0000066,3,PROD_001168,SELL_0077,2022-09-28 04:11:00,693.95,50.31
ORD_0000067,1,PROD_000124,SELL_0452,2022-07-20 00:24:00,60.82,10.83
ORD_0000067,2,PROD_000615,SELL_0349,2022-07-19 00:24:00,1092.25,29.68
ORD_0000067,3,PROD_001614,SELL_0197,2022-07-20 00:24:00,2368.56,41.35
ORD_0000067,4,PROD_002419,SELL_0330,2022-07-18 00:24:00,1781.62,17.8
ORD_0000068,1,PROD_002744,SELL_0348,2023-04-03 14:52:00,1716.39,68.54
ORD_0000068,2,PROD_000810,SELL_0041,2023-04-01 14:52:00,462.43,34.57
ORD_0000068,3,PROD_001187,SELL_0178,2023-04-01 14:52:00,984.39,13.09
ORD_0000068,4,PROD_000715,SELL_0441,2023-04-01 14:52:00,2307.15,18.13
ORD_0000068,5,PROD_000701,SELL_0395,2023-04-03 14:52:00,823.18,34.68
ORD_0000069,1,PROD_002203,SELL_0455,2021-07-25 20:56:00,1747.99,23.01
ORD_0000069,2,PROD_001217,SELL_0240,2021-07-27 20:56:00,1681.47,47.06
ORD_0000070,1,PROD_002675,SELL_0120,2021-01-07 13:24:00,2031.37,5.39
