order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD_0000001,CUST_006571,delivered,2023-06-15 14:30:00,2023-06-16 12:30:00,2023-06-17 12:30:00,2023-06-19 14:30:00,2023-06-29 14:30:00
ORD_0000002,CUST_006956,cancelled,2021-06-12 11:02:00,2021-06-12 23:02:00,2021-06-13 23:02:00,,2021-06-21 11:02:00
ORD_0000003,CUST_008373,delivered,2022-03-31 19:38:00,2022-04-01 04:38:00,2022-04-04 04:38:00,2022-04-14 19:38:00,2022-04-17 19:38:00
ORD_0000004,CUST_007986,delivered,2021-09-09 22:29:00,2021-09-10 11:29:00,2021-09-13 11:29:00,2021-09-23 22:29:00,2021-09-27 22:29:00
ORD_0000005,CUST_002810,shipped,2022-08-27 07:46:00,2022-08-28 03:46:00,2022-08-29 03:46:00,,2022-09-15 07:46:00
ORD_0000006,CUST_007867,invoiced,2023-05-26 16:27:00,2023-05-26 22:27:00,2023-05-29 22:27:00,,2023-06-09 16:27:00
ORD_0000007,CUST_004827,processing,2021-09-21 15:50:00,2021-09-22 11:50:00,2021-09-23 11:50:00,,2021-09-28 15:50:00
ORD_0000008,CUST_005137,delivered,2021-01-19 14:24:00,2021-01-20 10:24:00,2021-01-22 10:24:00,2021-01-28 14:24:00,2021-02-08 14:24:00
ORD_0000009,CUST_008418,delivered,2021-07-07 23:18:00,2021-07-08 23:18:00,2021-07-10 23:18:00,2021-07-20 23:18:00,2021-07-21 23:18:00
ORD_0000010,CUST_011541,shipped,2021-02-21 04:01:00,2021-02-21 05:01:00,2021-02-23 05:01:00,,2021-03-01 04:01:00
ORD_0000011,CUST_004086,delivered,2021-01-09 14:51:00,2021-01-10 09:51:00,2021-01-11 09:51:00,2021-01-16 14:51:00,2021-01-18 14:51:00
ORD_0000012,CUST_005971,invoiced,2023-03-17 22:15:00,2023-03-18 00:15:00,2023-03-19 00:15:00,,2023-03-30 22:15:00
ORD_0000013,CUST_005208,delivered,2022-03-25 16:59:00,2022-03-26 02:59:00,2022-03-29 02:59:00,2022-04-02 16:59:00,2022-04-07 16:59:00
ORD_0000014,CUST_014455,delivered,2021-01-31 02:37:00,2021-01-31 14:37:00,2021-02-01 14:37:00,2021-02-03 02:37:00,2021-02-08 02:37:00
ORD_0000015,CUST_013818,shipped,2021-04-27 23:20:00,2021-04-28 11:20:00,2021-04-30 11:20:00,,2021-05-11 23:20:00
ORD_0000016,CUST_011729,delivered,2021-08-19 02:52:00,2021-08-19 18:52:00,2021-08-20 18:52:00,2021-09-02 02:52:00,2021-09-06 02:52:00
ORD_0000017,CUST_001512,invoiced,2021-03-09 21:44:00,2021-03-10 06:44:00,2021-03-13 06:44:00,,2021-03-19 21:44:00
ORD_0000018,CUST_011562,delivered,2022-04-07 11:26:00,2022-04-08 03:26:00,2022-04-09 03:26:00,2022-04-11 11:26:00,2022-04-14 11:26:00
ORD_0000019,CUST_009758,invoiced,2022-12-19 14:13:00,2022-12-19 21:13:00,2022-12-20 21:13:00,,2023-01-08 14:13:00
ORD_0000020,CUST_009269,delivered,2022-05-08 20:42:00,2022-05-08 23:42:00,2022-05-09 23:42:00,2022-05-15 20:42:00,2022-05-16 20:42:00
