sales_month,total_orders,total_revenue,average_order_value
2021-01,1684,2517124.730000002,1294.8172479423877
2021-02,1519,2292457.679999997,1320.5401382488462
2021-03,1779,2634809.7499999953,1290.308398628793
2021-04,1709,2621228.9199999943,1338.7277425944812
2021-05,1722,2632810.160000004,1311.813731938218
2021-06,1654,2523478.2900000014,1326.7498895899062
2021-07,1730,2622612.1100000017,1313.9339228456922
2021-08,1657,2523118.710000002,1318.9329377940417
2021-09,1672,2587478.9000000022,1346.2429240374622
2021-10,1735,2646900.279999996,1332.7795971802598
2021-11,1680,2545607.3000000007,1326.5280354351228
2021-12,1734,2631296.3900000053,1329.6090904497248
2022-01,1787,2657294.0100000035,1293.7166553067202
2022-02,1515,2287956.9000000022,1308.1514579759876
2022-03,1640,2554865.3200000003,1359.6941564662056
2022-04,1687,2591682.120000001,1341.450372670808
2022-05,1675,2528428.1999999965,1322.3996861924668
2022-06,1721,2596770.170000004,1305.565696329816
2022-07,1756,2677574.849999999,1329.4810575968218
2022-08,1762,2683212.7600000016,1343.6218127190793
2022-09,1658,2562719.239999996,1366.7835946666646
2022-10,1693,2580487.0600000015,1321.2939375320027
2022-11,1607,2462168.5199999977,1321.614879227052
2022-12,1731,2625055.079999998,1315.157855711422
2023-01,1693,2588736.210000002,1330.2858221993843
2023-02,1467,2248534.700000002,1344.0135684399295
2023-03,1672,2492840.839999996,1303.1055096706723
2023-04,1729,2673606.979999997,1344.1965711412756
2023-05,1757,2681635.5800000043,1344.1782355889745
2023-06,1175,1773963.3299999984,1309.198029520294
