product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD_000001,music,66,512,5,18964,11,25,52
PROD_000002,food,40,452,4,25798,57,42,49
PROD_000003,office,69,121,5,24989,45,16,10
PROD_000004,music,46,717,4,18661,91,8,48
PROD_000005,toys,29,632,5,26347,79,32,11
PROD_000006,books,24,845,1,12830,52,31,68
PROD_000007,sports,34,563,3,12265,66,7,20
PROD_000008,books,40,247,4,13678,21,19,63
PROD_000009,garden,55,170,3,19359,80,8,27
PROD_000010,toys,34,750,1,16878,45,17,71
PROD_000011,office,45,730,5,5366,91,44,60
PROD_000012,beauty,37,408,4,25458,73,16,51
PROD_000013,health,20,644,3,22228,33,20,28
PROD_000014,computers,36,278,2,9978,75,5,14
PROD_000015,beauty,25,565,6,4229,49,12,52
PROD_000016,toys,35,994,4,19772,23,25,78
PROD_000017,toys,40,569,3,27816,84,6,59
PROD_000018,home_appliances,51,676,4,589,30,22,31
PROD_000019,toys,48,162,2,25098,37,19,28
PROD_000020,automotive,70,446,6,19753,47,27,33
PROD_000021,computers,34,968,1,10656,91,39,27
PROD_000022,food,44,331,1,9259,12,13,65
PROD_000023,books,31,806,5,19763,21,33,30
PROD_000024,fashion,51,402,2,19768,27,13,13
PROD_000025,beauty,25,517,4,17846,32,12,55
PROD_000026,garden,35,704,2,29586,61,29,36
PROD_000027,furniture,20,505,2,4235,55,7,37
PROD_000028,fashion,34,700,2,16487,15,24,78
PROD_000029,health,42,107,2,5055,15,31,22
PROD_000030,garden,57,149,1,18989,40,46,41
PROD_000031,sports,43,733,2,16136,87,36,20
PROD_000032,automotive,23,102,1,21272,12,16,53
PROD_000033,books,26,485,2,6136,53,29,45
PROD_000034,office,51,165,5,24347,57,27,49
PROD_000035,electronics,66,560,5,20470,28,19,10
PROD_000036,beauty,70,898,3,23920,37,13,39
PROD_000037,fashion,44,766,6,15459,69,39,19
PROD_000038,beauty,41,485,3,14553,46,20,66
PROD_000039,electronics,70,857,1,20250,47,27,35
PROD_000040,garden,59,816,1,2730,95,33,73
PROD_000041,books,46,828,4,11240,17,27,32
PROD_000042,garden,50,763,4,2292,26,6,30
PROD_000043,food,25,941,6,21333,51,35,80
PROD_000044,electronics,46,778,1,26221,89,8,29
PROD_000045,home_appliances,35,170,6,3831,60,35,80
PROD_000046,garden,48,124,4,20717,71,45,64
PROD_000047,sports,41,351,2,5053,35,48,72
PROD_000048,fashion,54,464,5,5189,19,13,58
PROD_000049,music,60,629,6,9421,92,37,57
PROD_000050,books,34,609,1,2823,46,14,49
PROD_000051,sports,21,141,1,24559,41,34,53
PROD_000052,health,35,683,5,18600,99,14,41
PROD_000053,office,64,174,2,4792,43,32,54
PROD_000054,automotive,62,741,5,28000,58,29,36
PROD_000055,home_appliances,50,873,5,23483,43,11,72
PROD_000056,garden,55,306,6,16383,62,26,19
PROD_000057,computers,41,315,5,4669,15,11,22
PROD_000058,health,37,783,1,26790,59,27,30
PROD_000059,office,47,502,3,6128,65,33,38
PROD_000060,music,43,165,2,16085,33,22,50
PROD_000061,toys,34,927,2,16123,56,48,60
PROD_000062,toys,68,495,5,15476,62,21,77
PROD_000063,furniture,52,400,5,14054,30,15,45
PROD_000064,music,56,394,6,12145,25,6,49
PROD_000065,books,60,241,3,290,62,42,26
PROD_000066,automotive,46,434,4,17592,52,12,28
PROD_000067,music,63,155,4,25197,26,33,63
PROD_000068,office,51,283,5,7683,50,49,12
PROD_000069,automotive,48,698,2,8534,97,22,27
PROD_000070,fashion,28,689,1,9968,65,47,57
PROD_000071,computers,20,290,2,25902,35,23,73
PROD_000072,furniture,55,977,6,28103,99,47,10
PROD_000073,beauty,42,604,6,18687,69,13,57
PROD_000074,fashion,53,398,6,21577,16,34,13
PROD_000075,sports,34,765,5,17457,27,10,47
PROD_000076,furniture,55,796,2,25468,41,17,66
PROD_000077,garden,66,259,6,1938,82,49,44
PROD_000078,toys,24,834,4,16098,61,33,11
PROD_000079,books,32,516,6,7299,95,13,76
PROD_000080,books,32,104,1,2307,27,14,13
PROD_000081,music,23,837,6,17073,47,37,44
PROD_000082,home_appliances,44,936,3,25437,79,18,36
PROD_000083,health,33,533,4,22241,83,29,12
PROD_000084,health,52,270,6,17803,87,30,73
PROD_000085,office,67,753,1,22949,36,29,11
PROD_000086,music,41,755,6,8396,87,23,65
PROD_000087,computers,58,236,1,18525,57,31,45
PROD_000088,automotive,65,953,1,3826,34,14,43
PROD_000089,automotive,43,881,1,29856,82,18,57
PROD_000090,electronics,61,995,1,2637,23,26,47
PROD_000091,books,27,586,3,25891,77,50,17
PROD_000092,food,23,321,5,24143,75,41,14
PROD_000093,beauty,36,753,1,2107,46,8,44
PROD_000094,sports,24,456,4,12714,75,26,19
PROD_000095,garden,33,953,3,6356,76,45,23
PROD_000096,beauty,52,761,2,15740,49,34,50
PROD_000097,toys,52,151,2,1478,89,45,11
PROD_000098,fashion,45,628,3,12598,46,33,24
PROD_000099,furniture,48,662,3,1282,21,43,14
PROD_000100,home_appliances,49,909,6,3465,61,43,77
PROD_000101,office,55,761,6,6791,71,49,23
PROD_000102,books,25,209,3,17006,59,32,76
PROD_000103,books,27,187,5,18819,70,29,66
PROD_000104,toys,57,853,6,17182,35,47,35
PROD_000105,home_appliances,46,167,4,28601,15,25,13
PROD_000106,toys,54,312,3,6312,42,27,79
PROD_000107,fashion,57,456,4,10820,66,50,29
PROD_000108,food,43,352,3,7945,41,42,75
PROD_000109,home_appliances,38,263,4,13213,94,14,22
PROD_000110,furniture,69,817,4,11082,81,7,18
PROD_000111,garden,41,652,3,14036,64,40,72
PROD_000112,automotive,33,104,2,311,29,37,53
PROD_000113,sports,30,945,4,5957,71,29,65
PROD_000114,automotive,55,930,6,7373,42,25,18
PROD_000115,garden,43,930,6,23369,17,15,50
PROD_000116,home_appliances,53,479,3,14074,23,20,10
PROD_000117,health,54,578,2,350,78,41,70
PROD_000118,home_appliances,66,962,1,21035,68,19,31
PROD_000119,furniture,70,586,4,15038,24,12,74
PROD_000120,beauty,28,426,2,22817,71,46,74
PROD_000121,computers,44,303,1,25666,87,8,11
PROD_000122,furniture,25,249,1,1674,28,50,45
PROD_000123,home_appliances,32,402,6,9611,72,18,16
PROD_000124,toys,67,774,4,27912,98,47,67
PROD_000125,furniture,26,875,5,27435,64,12,70
PROD_000126,fashion,44,473,6,20085,65,27,61
PROD_000127,books,69,566,4,9799,15,43,58
PROD_000128,food,35,299,3,25625,44,6,12
PROD_000129,automotive,65,475,2,5391,46,13,58
PROD_000130,garden,65,473,2,25669,68,44,35
PROD_000131,office,31,230,1,19087,19,21,41
PROD_000132,automotive,65,113,4,796,56,49,46
PROD_000133,furniture,62,349,4,1740,24,26,73
PROD_000134,health,60,700,1,2807,52,7,22
PROD_000135,electronics,24,506,6,27258,29,31,11
PROD_000136,electronics,52,133,2,13250,54,40,36
